Code_No,Num,Family,TaxonName,EndangeredSpecies,RarePlants,ExoticPlants,KoreanEndemicPlants,ClimateSensitiveBiologicalIndicatorSpecies,KoreanRedListOfThreatenedSpecies,BiologicalResourcesSubjectToTheApprovalOfOutboundTransfer,FloristicTargetSpecies,PlantsAdaptableToClimateChange,Native_NABI,Cultivated_NABI,Naturalized_NABI
5328,1232,Fabaceae,Cytisus scoparius (L.) Link,,,PIP (UN),,,,,,,,1,
7192,1245,Fabaceae,Galega officinalis L.,,,PIP (UN),,,,,,,,1,
7528,1246,Fabaceae,Gleditsia japonica Miq.,,,,,,,,,,1,1,
7529,1248,Fabaceae,Gleditsia japonica Miq. forma inarmata Nakai,,,,,,,,,,1,1,
7533,1249,Fabaceae,Gleditsia sinensis Lam.,,,,,,,,,,,1,
7563,1250,Fabaceae,Glycine max (L.) Merr.,,,,,,,,,,,1,
7566,1252,Fabaceae,Glycyrrhiza pallidiflora Maxim.,,,,,,,,,,,1,
7568,1253,Fabaceae,Glycyrrhiza uralensis Fisch. ex DC.,,,,,,,,,,,1,
9343,1260,Fabaceae,Indigofera bungeana Walp.,,,IAP (CAP),,,,,,,,1,1
9950,1268,Fabaceae,Lablab purpureus (L.) Sweet,,,,,,,,,,,1,
20221,1269,Fabaceae,Lathyrus aphaca L.,,,PIP (UN),,,,,,,,1,
10065,1275,Fabaceae,Lathyrus odoratus L.,,,,,,,,,,,1,
10195,1288,Fabaceae,Lespedeza davidii Franch.,,,PIP (UN),,,,,,,,1,
10198,1290,Fabaceae,Lespedeza floribunda Bunge,,,PIP (UN),,,,,,,,1,1
20222,1323,Fabaceae,Lotus tenuis Waldst. & Kit. ex Willd.,,,PIP (UN),,,,,,,,1,
10743,1325,Fabaceae,Lupinus angustifolius L.,,,PIP (UN),,,,,,,,1,
11447,1338,Fabaceae,Mimosa pudica L.,,,PIP (CAP),,,,,,,,1,
12631,1344,Fabaceae,Phaseolus multiflorus Willd.,,,,,,,,,,,1,
12635,1345,Fabaceae,Phaseolus vulgaris L.,,,,,,,,,,,1,
13132,1346,Fabaceae,Pisum sativum L.,,,,,,,,,,,1,
13133,1347,Fabaceae,Pisum sativum L. var. arvense (L.) Poir.,,,,,,,,,,,1,
14780,1351,Fabaceae,Robinia hispida L.,,,,,,,,,,,1,
14785,1352,Fabaceae,Robinia pseudoacacia L.,,,IAP (NP),,,,,,,,1,1
14786,1353,Fabaceae,Robinia pseudoacacia L. var. umbraculifera DC.,,,,,,,,,,,1,
15865,1355,Fabaceae,Senna occidentalis (L.) Link,,,PIP (CAP),,,,,,,,1,
15867,1356,Fabaceae,Senna tora (L.) Roxb.,,,Arc.,,,,,,,,1,1
16088,1358,Fabaceae,Sophora japonica L.,,,PIP (CAP),,,,,,,,1,
17100,1370,Fabaceae,Ulex europaeus L.,,,PIP (CAP),,,,,,,,1,
17442,1380,Fabaceae,Vicia bungei Ohwi,,,,,,,1,Ⅳ,Northern,,1,
17480,1408,Fabaceae,Vicia villosa Roth,,,IAP (NP),,,,,,,,1,1
17483,1409,Fabaceae,Vigna angularis (Willd.) Ohwi & H. Ohashi,,,,,,,,,,,1,
17489,1412,Fabaceae,Vigna radiata (L.) R. Wilczek,,,,,,,,,,,1,
17490,1413,Fabaceae,Vigna umbellata (Thunb.) Ohwi & H. Ohashi,,,,,,,,,,,1,
17491,1414,Fabaceae,Vigna unguiculata (L.) Walp.,,,,,,,,,,,1,
17695,1416,Fabaceae,Wisteria floribunda (Willd.) DC.,,,Arc.,,,,,Ⅳ,,1,1,1
13327,1423,Polygalaceae,Polygala tenuifolia Willd.,,CR,,,,NT,,Ⅳ,,1,1,
3156,1426,Cannabaceae,Cannabis sativa L.,,,Arc.,,,,,,,,1,1
3788,1436,Cannabaceae,Celtis sinensis Pers.,,,,,,,,,,1,1,
8716,1438,Cannabaceae,Humulus lupulus L.,,,,,,,,,,,1,
6181,1443,Elaeagnaceae,Elaeagnus multiflora Thunb.,,,,,,,,,,,1,
8454,1452,Elaeagnaceae,Hippophae rhamnoides L.,,,,,,,,,,,1,
2451,1453,Moraceae,Broussonetia kazinoki Siebold,,,,1,,,1,,,1,1,
2455,1455,Moraceae,Broussonetia papyrifera (L.) L'Her. ex Vent,,,,,,,1,,,1,1,
5127,1458,Moraceae,Cudrania tricuspidata Bureau ex Lavallée,,,,,,,1,,,1,1,
6938,1460,Moraceae,Ficus benghalensis L.,,,,,,,,,,,1,
6939,1461,Moraceae,Ficus benjamina L.,,,,,,,,,,,1,
6942,1462,Moraceae,Ficus carica L.,,,PIP (CAP),,,,,,,,1,
6946,1463,Moraceae,Ficus elastica Roxb.,,,,,,,,,,,1,
6955,1466,Moraceae,Ficus lyrata Warb.,,,,,,,,,,,1,
11568,1469,Moraceae,Morus alba L.,,,Arc.,,,,,,,,1,1
8706,1481,Rhamnaceae,Hovenia dulcis Thunb.,,,,,,,1,Ⅰ,,1,1,
17844,1497,Rhamnaceae,Ziziphus jujuba Mill. var. inermis (Bunge) Rehder,,,,,,,1,,,,1,
3903,1505,Rosaceae,Chaenomeles japonica (Thunb.) Lindl. ex Spach,,,PIP (CAP),,,,,,,,1,
3904,1506,Rosaceae,Chaenomeles sinensis (Thouin) Koehne,,,,,,,,,,,1,
3905,1507,Rosaceae,Chaenomeles speciosa (Sweet) Nakai,,,PIP (CAP),,,,,,,,1,
4889,1509,Rosaceae,Cotoneaster horizontalis Decne.,,,,,,,,,,,1,
4968,1514,Rosaceae,Crataegus pinnatifida Bunge,,,,,,,1,,,1,1,
4983,1521,Rosaceae,Crataegus scabrida Sarg.,,,,,,,,,,,1,
5973,1522,Rosaceae,Dryas octopetala L.,,,,,,,,,,1,1,
6475,1525,Rosaceae,Eriobotrya japonica (Thunb.) Lindl.,,,,,,,,,,,1,
6976,1531,Rosaceae,Filipendula koreana (Nakai) Nakai,,,,,,,,Ⅱ,,1,1,
7087,1537,Rosaceae,Fragaria × ananassa Duchesne ex Rozier,,,,,,,,,,,1,
9887,1540,Rosaceae,Kerria japonica (L.) DC.,,,PIP (CAP),,,,,,,,1,
9888,1541,Rosaceae,Kerria japonica (L.) DC. forma pleniflora (Witte) Rehder,,,,,,,,,,,1,
11220,1542,Rosaceae,Malus asiatica Nakai,,DD,,,,,,,,,1,
11227,1547,Rosaceae,Malus floribunda Siebold ex Van Houtte,,,,,,,,,,,1,
11231,1549,Rosaceae,Malus prunifolia (Willd.) Borkh.,,,,,,,,,,,1,
11233,1550,Rosaceae,Malus pumila Mill.,,,,,,,,,,,1,
12768,1555,Rosaceae,Photinia glabra (Thunb.) Maxim.,,,,,,,,,,,1,
